100.00			 -0.00		 -1.20		  0.00
  20.00			 -0.00		 -0.75		  0.50
  0.00			 -0.00		 -0.30		  1.00
  40.00			 -0.00		 -0.15		  1.50
  32.00			 -0.00		 -0.00		  2.00
  18.04			 -0.00		 -0.05		  2.50
  0.00			 -0.00		 -0.10		  3.00
  0.00			 -0.05		 -0.45		  3.50
  0.00			 -0.10		 -0.80		  4.00
  0.00			 -0.10		 -1.40		  4.50
  0.00			 -0.10		 -2.00		  5.00
  0.00			 -0.10		 -3.00		  5.50
  0.00			 -0.10		 -4.00		  6.00
  0.00			 -0.10		 -5.50		  6.50
  0.00			 -0.10		 -7.00		  7.00
  0.00			 -0.15		 -9.30		  7.50
  0.00			 -0.20		-11.60		  8.00
  0.00			 -0.20		-14.15		  8.50
  0.00			 -0.20		-16.70		  9.00
  0.00			 -0.25		-16.50		  9.50
  0.00			 -0.30		-16.30		 10.00
  0.00			 -0.30		-14.10		 10.50
  0.00			 -0.30		-11.90		 11.00
  0.00			 -0.35		-10.80		 11.50
  0.00			 -0.40		 -9.70		 12.00
  0.00			 -0.45		 -9.30		 12.50
  0.00			 -0.50		 -8.90		 13.00
  0.00			 -0.50		 -9.10		 13.50
  0.00			 -0.50		 -9.30		 14.00
  0.00			 -0.55		-10.00		 14.50
  0.00			 -0.60		-10.70		 15.00
  0.00			 -0.65		-12.20		 15.50
  0.00			 -0.70		-13.70		 16.00
  0.00			 -0.75		-16.75		 16.50
  0.00			 -0.80		-19.80		 17.00
  0.00			 -0.85		-23.40		 17.50
  0.00			 -0.90		-27.00		 18.00
  0.00			 -0.95		-22.60		 18.50
  0.00			 -1.00		-18.20		 19.00
  0.00			 -1.05		-16.05		 19.50
  0.00			 -1.10		-13.90		 20.00
  0.00			 -1.15		-12.85		 20.50
  0.00			 -1.20		-11.80		 21.00
  0.00			 -1.25		-11.40		 21.50
  0.00			 -1.30		-11.00		 22.00
  0.00			 -1.40		-11.05		 22.50
  0.00			 -1.50		-11.10		 23.00
  0.00			 -1.55		-11.60		 23.50
  0.00			 -1.60		-12.10		 24.00
  0.00			 -1.65		-13.10		 24.50
  0.00			 -1.70		-14.10		 25.00
  0.00			 -1.80		-15.85		 25.50
  0.00			 -1.90		-17.60		 26.00
  0.00			 -1.95		-20.50		 26.50
  0.00			 -2.00		-23.40		 27.00
  0.00			 -2.10		-25.20		 27.50
  0.00			 -2.20		-27.00		 28.00
  0.00			 -2.25		-24.05		 28.50
  0.00			 -2.30		-21.10		 29.00
  0.00			 -2.40		-19.30		 29.50
  0.00			 -2.50		-17.50		 30.00
  0.00			 -2.60		-16.60		 30.50
  0.00			 -2.70		-15.70		 31.00
  0.00			 -2.75		-15.35		 31.50
  0.00			 -2.80		-15.00		 32.00
  0.00			 -2.90		-15.05		 32.50
  0.00			 -3.00		-15.10		 33.00
  0.00			 -3.10		-15.35		 33.50
  0.00			 -3.20		-15.60		 34.00
  0.00			 -3.30		-16.20		 34.50
  0.00			 -3.40		-16.80		 35.00
  0.00			 -3.50		-17.60		 35.50
  0.00			 -3.60		-18.40		 36.00
  0.00			 -3.70		-19.20		 36.50
  0.00			 -3.80		-20.00		 37.00
